Roll,Pitch,Direction
99,109,Left
98,109,Left
98,107,Left
98,105,Left
98,100,Motionless
97,98,Motionless
97,95,Motionless
97,93,Right
97,92,Right
97,91,Right
97,91,Right
97,90,Right
97,90,Right
97,91,Right
97,91,Right
97,91,Right
97,92,Right
97,95,Motionless
97,100,Motionless
97,103,Left
97,105,Left
97,107,Left
97,109,Left
97,110,Left
98,110,Left
98,111,Left
98,111,Left
98,111,Left
98,111,Left
98,111,Left
98,109,Left
97,106,Left
96,103,Left
97,100,Motionless
97,98,Motionless
97,95,Motionless
97,94,Right
97,93,Right
97,92,Right
97,92,Right
97,92,Right
98,91,Right
98,92,Right
98,92,Right
98,92,Right
98,93,Right
98,95,Motionless
98,97,Motionless
98,99,Motionless
98,101,Motionless
98,103,Left
99,105,Left
99,108,Left
99,110,Left
99,111,Left
99,112,Left
99,112,Left
99,112,Left
99,112,Left
99,112,Left
99,111,Left
98,108,Left
98,105,Left
97,102,Motionless
97,99,Motionless
97,97,Motionless
97,94,Right
97,93,Right
97,92,Right
97,93,Right
97,92,Right
97,92,Right
97,92,Right
97,92,Right
97,92,Right
97,94,Right
97,96,Motionless
97,99,Motionless
97,101,Motionless
97,102,Motionless
97,103,Left
97,105,Left
97,106,Left
98,108,Left
98,110,Left
98,110,Left
98,111,Left
98,111,Left
98,111,Left
98,110,Left
98,110,Left
97,109,Left
97,106,Left
96,104,Left
96,101,Motionless
96,101,Motionless
96,99,Motionless
96,97,Motionless
95,96,Motionless
95,94,Right
95,93,Right
95,93,Right
95,93,Right
95,93,Right
95,94,Right
95,94,Right
95,94,Right
95,96,Motionless
95,99,Motionless
95,101,Motionless
96,104,Left
96,105,Left
96,106,Left
97,108,Left
97,109,Left
97,109,Left
97,110,Left
96,111,Left
96,111,Left
96,111,Left
96,111,Left
96,109,Left
95,107,Left
94,104,Left
94,102,Motionless
94,101,Motionless
93,100,Motionless
94,99,Motionless
93,97,Motionless
93,96,Motionless
93,95,Motionless
93,94,Right
93,94,Right
93,94,Right
93,94,Right
93,94,Right
94,94,Right
94,94,Right
94,96,Motionless
94,98,Motionless
94,100,Motionless
95,102,Motionless
95,103,Left
95,104,Left
96,105,Left
96,106,Left
96,106,Left
96,106,Left
95,107,Left
96,107,Left
